Fecha,SR16643,SR16644,SR16645,SR16646,SR16647,SR16648,SR16649,SR16650,SR16651,SR16652,SR16674,SR16675,SR16676,SR16677,SR16678,SR16679,SR16680,SR16681,SR16682,SR16683,SR16684,SR16685,SR16686,SR16687,SR16688,SR16689
Ene-Mar 1993,1502180.4,68635.2,1433545.3,76185.1,76185.1,495851,92898.8,19248.5,104163.9,279539.8,861509.1,88186.8,131440.5,77439.3,23244.6,62175.1,190659.7,17538.6,6149.8,46064.1,45583.7,27293,9021.6,45303.3,43619.6,47789.3
Abr-Jun 1993,1553803.1,68168.2,1485634.9,77963.6,77963.6,497047.9,97879.1,20442,98010.7,280716.1,910623.4,94890.1,132291.1,79113.1,25089.8,66452.6,202118.8,20271.8,7258.4,51778.9,50186.7,27853.1,9554,50495.4,45207.8,48061.9
Jul-Sep 1993,1553768.1,65257.3,1488510.8,75552.3,75552.3,504784.4,91869.9,22135.8,111662.6,279116.1,908174.2,95214.9,133394.6,80987.8,28353.6,64446.2,197227.5,17839.6,5468.2,56060.6,46252.6,28998.5,9401.2,52150,43648.8,48729.9
Oct-Dic 1993,1630621.4,72201.3,1558420.2,88589.3,88589.3,529349.9,95357,21752,118304.4,293936.6,940480.9,97898.3,146208.2,81663.6,27271.6,66640.3,201847.6,20257.3,7417.8,53333,53931.6,30868,9778.2,46904.4,46565.3,49895.5
Ene-Mar 1994,1669869.5,82505.4,1587364,77350.8,77350.8,540608.5,93869.8,21064,133331.8,292342.9,969404.7,92212.1,137581.5,82872.9,28300.5,65673,220597.2,20478.4,8352.6,59460.5,56277.1,30770.4,10804.4,52108.6,47329.8,56585.7
Abr-Jun 1994,1779780,83023.5,1696756.4,86488.8,86488.8,568074.3,101468.3,23659.9,132856.2,310089.9,1042193.3,104545.1,144462.8,88918.4,30747.3,66746.9,233978.7,24499.5,10868.1,68203.3,62301,30915.3,11352.4,57767.6,48915.6,57971.2
Jul-Sep 1994,1779633.3,83222.5,1696410.8,72653.4,72653.4,585938.6,99873.5,26285,149565,310215,1037818.9,110824.8,148968.8,91815,33189.3,66172.1,228324.1,21655.2,8156.5,61458.7,55949.8,33089.7,10960.4,59540.6,48622.6,59091.2
Oct-Dic 1994,1896407.1,91709.3,1804697.7,92490.2,92490.2,595796.7,96002.6,26369,147297.2,326127.8,1116410.8,128297.4,174397.3,96453.4,31667.8,74957,235277.5,24508.6,10394.9,65432.4,63068.2,35705,11040.8,52490.4,52646.6,60073.6
Ene-Mar 1995,2008487.2,76575.7,1931911.6,82520.5,82520.5,675291.1,135371.6,26085.5,122954.8,390879.2,1174099.9,126081.1,168596.5,102713.7,31856.6,80087,266394.9,24465.1,11329.7,78892,66933.2,36178.1,12025.4,53644.7,49696.1,65205.7
Abr-Jun 1995,2246584.3,88832.2,2157752.1,94651.5,94651.5,730505,150316.1,34543.4,120953,424692.6,1332595.6,154744.4,186101,119540,35455.4,86626.8,313549.1,30760.3,14106.1,82891.1,72830,36883.4,13090.9,61753.7,57308.4,66955
Jul-Sep 1995,2357628.1,95182.9,2262445.2,99971.1,99971.1,764419.5,142486.1,37890.7,139285,444757.7,1398054.6,176222.8,208246.9,129146.4,38176.9,80631.7,322606.4,27898.8,10885.1,84421.1,70155.5,42289,12025.5,66031.1,59588.8,69728.6
Oct-Dic 1995,2633134.2,123104.4,2510029.8,131973.2,131973.2,852440,147587.1,38376.1,156104.1,510372.6,1525616.7,198512.7,248906.2,140803.3,36529.6,85294.1,340617.6,33932,14329.3,87990,75988.2,44567.4,11826.7,64774,67882.3,73663.3
Ene-Mar 1996,2854790.9,117866.4,2736924.5,132631.1,132631.1,970587,171873.7,41760,170283,586670.3,1633706.3,206034.7,259817.7,155777.8,36113.8,80752.9,373769.8,34750.2,15710.3,104535.2,83633.6,45918.4,13063.2,70260.9,69822.9,83744.9
Abr-Jun 1996,3026075.8,112757.6,2913318.1,147249.7,147249.7,999509.2,170650,45503.7,175009.7,608345.8,1766559.2,228901.7,272901.2,167545.3,43230.1,70546.5,405731.8,43268.4,18547.9,118245.7,95931.3,44743.6,15739.5,79576.7,73541.8,88107.6
Jul-Sep 1996,3137331.9,125288.3,3012043.7,144030.4,144030.4,1070978.5,178306.8,50417.3,215877.7,626376.7,1797034.8,240487.5,287732.8,179486.4,52607.1,65235,402109.7,39584.8,13856.4,116934.2,88722.2,48103.9,14831.7,82857.7,72872.7,91612.9
Oct-Dic 1996,3474473.2,144326.3,3330147,184290.3,184290.3,1199839.9,218682.4,54814.1,224017.7,702325.7,1946016.7,268145.7,336072.1,193758.5,51801.9,69557.9,418945.8,47616.9,18284.8,119468.3,97751.4,53625.8,15852.4,81921.5,78745.5,94468.5
Ene-Mar 1997,3593692.6,154594.1,3439098.5,166558,166558,1233328.2,217672.6,56011.4,219557.1,740087.1,2039212.3,266628.7,311631.4,207184.6,46442.1,71982.3,453293.8,47724.5,20941.1,139569.2,106633.7,52643.2,20164.2,92785.4,87010.1,114577.8
Abr-Jun 1997,3902792.8,161426.9,3741365.8,176405.7,176405.7,1304370,219362.2,57162.2,232149.7,795696,2260590.1,319412.4,342172.3,228908.3,52257.7,72036.3,491627.9,59619.8,26673.4,157536.3,121419.9,57020.2,20011.7,103357.1,91684.8,116851.9
Jul-Sep 1997,4000911,179395.5,3821515.5,159930.3,159930.3,1397121,251084.5,61513.7,278914.3,805608.4,2264464.3,332998.3,354633.1,238309.4,57691.4,69408.3,490061,52874.1,19089.5,137933.8,113836.1,59408.6,19060.8,108453.9,91599.9,119106.1
