Order,Trimestre,Seguro H,Inseguro H,Seguro M,Inseguro M,Seguro,Inseguro
1,Junio 2019,31.7188257089454,68.1516175518087,21.2104808378998,78.6501405795259,25.9999036055513,73.8651943455849
2,Marzo 2019,31.5013114710245,68.3312378699884,20.2087158528433,79.6214331753119,25.2739285761294,74.5572970951323
3,Diciembre 2018,31.1910634368805,68.5510391154435,21.7860557805587,77.9878142550485,26.0360487640941,73.7234659848411
4,Septiembre 2018,30.5652344502837,69.1783998196073,19.9257198878591,79.6897140295984,24.8054688861849,74.8687633474647
5,Junio 2018,28.518667798775,71.3496582010739,20.2453840943468,79.5602895625645,23.979402100892,75.8545487171852
6,Marzo 2018,27.9815628547398,71.8267597624908,18.8395492166869,81.0103427971311,23.0213454208608,76.8095316634525
7,Diciembre 2017,29.2827108378032,70.5915391050823,19.3662846762091,80.5286909270899,23.9399763918038,75.9454400437277
8,Septiembre 2017,28.7513653049466,71.0759279391916,19.5551897173214,80.3220187961394,23.8352974888572,76.0186793311556
9,Junio 2017,30.9443809625728,68.8995529587018,19.7225555445966,80.1941035314165,25.0217563614827,74.8605602448301
10,Marzo 2017,32.3143462855196,67.5151083070168,22.2267915253682,77.500770907787,26.8682273252311,72.9062172243062
11,Diciembre 2016,31.3532522808208,68.6026190701669,21.156812916522,78.7773065279906,25.8715211353543,74.0726561233197
12,Septiembre 2016,32.8122752143749,66.9825564670677,23.4931025776342,76.2386016992506,27.8241802669412,71.9368624184183
13,Junio 2016,35.6104066508455,64.1661254697654,24.9852427285122,74.7600984069231,29.7568691221509,70.0024794892345
14,Marzo 2016,34.1229122972059,65.1059528924158,25.655608841717,73.8746450402716,29.5129890171812,69.879963683486
15,Diciembre 2015,37.2314367835004,62.6691769185794,28.2571592357498,71.4227562251021,32.0270880769672,67.7455386534419
16,Septiembre 2015,34.1732368698404,65.8267631301596,30.179056077386,69.6578603155759,31.9135534082647,67.9941830341181
17,Junio 2015,35.5742949657822,64.4257050342178,27.2833897017169,72.5536773430309,30.943320467057,68.9656715746148
18,Marzo 2015,33.9860848655468,66.0139151344532,30.5038094358541,69.3663228305568,31.9833035757505,67.9420048404757
19,Diciembre 2014,35.1510058761697,64.7109062317581,29.5969804395393,70.2001003150398,31.9627290326605,67.8619667706296
20,Septiembre 2014,34.1022624942922,65.8329706881749,32.2698642267514,67.7301357732486,33.0197449458294,66.9537502333769
21,Junio 2014,32.7336873657078,67.1559496138489,27.1492409038954,72.5113575016755,29.5561184212413,70.2031948342438
22,Marzo 2014,28.6936752900866,71.1080679850119,26.2245204903152,73.387717323405,27.2902372622564,72.4037933773264
23,Diciembre 2013,37.0658476456352,62.8344195822011,28.2446623348529,71.728051364792,31.9024128865396,68.0402605052681
24,Septiembre 2013,34.7656573558511,64.7914878988271,29.5251455194861,70.2822791515254,31.7049200899062,67.9984016376796
