,"Trimestre","Dates","Seguro","Inseguro","Seguro_H","Inseguro_H","Seguro_M","Inseguro_M"
1,"Septiembre 2013","2013-09-01",31.7049200899062,67.9984016376796,34.7656573558511,64.7914878988271,29.5251455194861,70.2822791515254
2,"Diciembre 2013","2013-12-01",31.9024128865396,68.0402605052681,37.0658476456352,62.8344195822011,28.2446623348529,71.728051364792
3,"Marzo 2014","2014-03-01",27.2902372622564,72.4037933773264,28.6936752900866,71.1080679850119,26.2245204903152,73.387717323405
4,"Junio 2014","2014-06-01",29.5561184212413,70.2031948342438,32.7336873657078,67.1559496138489,27.1492409038954,72.5113575016755
5,"Septiembre 2014","2014-09-01",33.0197449458294,66.9537502333769,34.1022624942922,65.8329706881749,32.2698642267514,67.7301357732486
6,"Diciembre 2014","2014-12-01",31.9627290326605,67.8619667706296,35.1510058761697,64.7109062317581,29.5969804395393,70.2001003150398
7,"Marzo 2015","2015-03-01",31.9833035757505,67.9420048404757,33.9860848655468,66.0139151344532,30.5038094358541,69.3663228305568
8,"Junio 2015","2015-06-01",30.943320467057,68.9656715746148,35.5742949657822,64.4257050342178,27.2833897017169,72.5536773430309
9,"Septiembre 2015","2015-09-01",31.9135534082647,67.9941830341181,34.1732368698404,65.8267631301596,30.179056077386,69.6578603155759
10,"Diciembre 2015","2015-12-01",32.0270880769672,67.7455386534419,37.2314367835004,62.6691769185794,28.2571592357498,71.4227562251021
11,"Marzo 2016","2016-03-01",29.5129890171812,69.879963683486,34.1229122972059,65.1059528924158,25.655608841717,73.8746450402716
12,"Junio 2016","2016-06-01",29.7568691221509,70.0024794892345,35.6104066508455,64.1661254697654,24.9852427285122,74.7600984069231
13,"Septiembre 2016","2016-09-01",27.8241802669412,71.9368624184183,32.8122752143749,66.9825564670677,23.4931025776342,76.2386016992506
14,"Diciembre 2016","2016-12-01",25.8715211353543,74.0726561233197,31.3532522808208,68.6026190701669,21.156812916522,78.7773065279906
15,"Marzo 2017","2017-03-01",26.8682273252311,72.9062172243062,32.3143462855196,67.5151083070168,22.2267915253682,77.500770907787
16,"Junio 2017","2017-06-01",25.0217563614827,74.8605602448301,30.9443809625728,68.8995529587018,19.7225555445966,80.1941035314165
17,"Septiembre 2017","2017-09-01",23.8352974888572,76.0186793311556,28.7513653049466,71.0759279391916,19.5551897173214,80.3220187961394
18,"Diciembre 2017","2017-12-01",23.9399763918038,75.9454400437277,29.2827108378032,70.5915391050823,19.3662846762091,80.5286909270899
19,"Marzo 2018","2018-03-01",23.0213454208608,76.8095316634525,27.9815628547398,71.8267597624908,18.8395492166869,81.0103427971311
20,"Junio 2018","2018-06-01",23.979402100892,75.8545487171852,28.518667798775,71.3496582010739,20.2453840943468,79.5602895625645
21,"Septiembre 2018","2018-09-01",24.8054688861849,74.8687633474647,30.5652344502837,69.1783998196073,19.9257198878591,79.6897140295984
22,"Diciembre 2018","2018-12-01",26.0360487640941,73.7234659848411,31.1910634368805,68.5510391154435,21.7860557805587,77.9878142550485
23,"Marzo 2019","2019-03-01",25.2739285761294,74.5572970951323,31.5013114710245,68.3312378699884,20.2087158528433,79.6214331753119
24,"Junio 2019","2019-06-01",25.9999036055513,73.8651943455849,31.7188257089454,68.1516175518087,21.2104808378998,78.6501405795259
25,"Septiembre 2019","2019-09-01",28.5206082934257,71.2865613375507,33.9969743737241,65.7775778624196,23.9228219772517,75.9117322020605
26,"Diciembre 2019","2019-12-01",26.7804457661515,72.8939890183398,31.9919238269109,67.7618702782316,22.3889302194729,77.2186314656115
27,"Marzo 2020","2020-03-01",26.2076425765513,73.3930410236206,32.2507455774043,67.2487087016524,21.0926564261541,78.5937094096915
28,"Junio 2020","2020-06-01",,,,,,
29,"Septiembre 2020","2020-09-01",31.796576508637,67.7984353560992,37.6825543190249,61.9713089560148,26.8326060902497,72.7127731273312
30,"Diciembre 2020","2020-12-01",31.6045858074432,68.0639087000886,36.9495184988015,62.7419903735051,27.0695213775055,72.5794459192839
31,"Marzo 2021","2021-03-01",33.2029669478547,66.425788705104,38.6951386300296,60.8869099363519,28.6685796775492,70.9987377741049
32,"Junio 2021","2021-06-01",33.1285032487496,66.558555168288,38.8998001532323,60.8632802526668,28.2731480996294,71.349953504724
33,"Septiembre 2021","2021-09-01",35.2896561698181,64.4824908391418,40.9963035698702,58.7829625919504,30.6558370820817,69.1105291480599
34,"Diciembre 2021","2021-12-01",33.9595550118198,65.8061482095798,39.5112637167409,60.2198951554441,29.4912356613756,70.302270744998
35,"Marzo 2022","2022-03-01",33.5438169804134,66.2495437845425,39.3310355943957,60.4221698501804,28.7686516637788,71.0578421666349
36,"Junio 2022","2022-06-01",32.4317009891265,67.4349510330883,38.9867104367445,60.8735231983071,27.0031546634012,72.8688127610766
37,"Septiembre 2022","2022-09-01",35.3006267700147,64.4185399973359,42.4830290125213,57.2174237031693,29.254101965914,70.4808192765727
38,"Diciembre 2022","2022-12-01",35.3713576216754,64.2383184517649,42.2015350411418,57.4490554492154,29.7082853624132,69.8674675366765
