"Dates","Homicides","Feminicidio","Con.Arma.de.Fuego","Con.Arma.Blanca","Con.Otro.Elemento","No.especificado"
2015-01-01,"1354","33","3","8","19","3"
2015-02-01,"1388","30","3","5","20","2"
2015-03-01,"1379","33","4","7","17","5"
2015-04-01,"1442","36","4","8","23","1"
2015-05-01,"1601","28","2","3","18","5"
2015-06-01,"1466","28","4","6","11","7"
2015-07-01,"1539","37","5","3","23","6"
2015-08-01,"1674","40","7","6","22","5"
2015-09-01,"1503","44","6","11","20","7"
2015-10-01,"1464","48","12","10","25","1"
2015-11-01,"1581","30","6","7","11","6"
2015-12-01,"1494","40","5","8","22","5"
2016-01-01,"1532","41","11","7","17","6"
2016-02-01,"1590","54","21","6","21","6"
2016-03-01,"1707","70","12","17","32","9"
2016-04-01,"1649","63","18","15","28","2"
2016-05-01,"1878","52","7","10","27","8"
2016-06-01,"1783","61","14","11","35","1"
2016-07-01,"2074","43","18","7","17","1"
2016-08-01,"2131","46","14","4","28","0"
2016-09-01,"2163","57","17","10","27","3"
2016-10-01,"2007","48","10","5","27","6"
2016-11-01,"2000","63","14","10","33","6"
2016-12-01,"2027","50","10","10","22","8"
2017-01-01,"2136","51","19","7","23","2"
2017-02-01,"2077","69","18","14","36","1"
2017-03-01,"2202","63","22","8","32","1"
2017-04-01,"2184","62","11","18","27","6"
2017-05-01,"2421","69","12","19","32","6"
2017-06-01,"2507","77","19","16","40","2"
2017-07-01,"2402","75","24","15","35","1"
2017-08-01,"2470","70","17","14","37","2"
2017-09-01,"2548","56","15","10","27","4"
2017-10-01,"2764","61","14","14","27","6"
2017-11-01,"2571","58","12","12","32","2"
2017-12-01,"2588","55","17","6","27","5"
2018-01-01,"2568","71","19","14","32","6"
2018-02-01,"2445","69","17","12","36","4"
2018-03-01,"2787","72","15","17","35","5"
2018-04-01,"2775","82","14","16","47","5"
2018-05-01,"2935","64","11","15","34","4"
2018-06-01,"2768","79","17","11","44","7"
2018-07-01,"3074","84","16","18","39","11"
2018-08-01,"2950","65","17","12","34","2"
2018-09-01,"2966","79","23","16","31","9"
2018-10-01,"2848","85","21","14","44","6"
2018-11-01,"2728","68","16","12","36","4"
2018-12-01,"2893","101","23","18","51","9"
2019-01-01,"2874","70","20","12","36","2"
2019-02-01,"2823","70","14","20","31","5"
2019-03-01,"2877","81","11","15","53","2"
2019-04-01,"2752","67","14","16","35","2"
2019-05-01,"2914","81","15","15","50","1"
2019-06-01,"3005","80","14","26","37","3"
2019-07-01,"2981","88","15","18","48","7"
2019-08-01,"2956","94","21","20","49","4"
2019-09-01,"2845","88","19","16","45","8"
2019-10-01,"2879","73","12","18","37","6"
2019-11-01,"2930","81","16","15","47","3"
2019-12-01,"2882","96","23","15","54","4"
2020-01-01,"2995","76","23","12","38","3"
2020-02-01,"2777","92","19","20","44","9"
2020-03-01,"3041","77","15","21","38","3"
2020-04-01,"2936","73","18","16","30","9"
2020-05-01,"2929","73","14","17","37","5"
2020-06-01,"2877","98","21","28","39","10"
2020-07-01,"2995","76","24","20","29","3"
2020-08-01,"2990","75","18","22","26","9"
2020-09-01,"2743","82","18","18","36","10"
2020-10-01,"2957","82","16","17","44","5"
2020-11-01,"2690","88","21","27","34","6"
2020-12-01,"2633","84","15","19","40","10"
2021-01-01,"2840","76","11","16","43","6"
2021-02-01,"2636","78","16","22","31","9"
2021-03-01,"2953","104","25","18","48","13"
2021-04-01,"2882","80","17","15","41","7"
2021-05-01,"3002","112","17","31","58","6"
2021-06-01,"2663","86","22","19","32","13"
2021-07-01,"2859","73","16","20","31","6"
2021-08-01,"2823","111","20","24","61","6"
2021-09-01,"2774","70","14","17","36","3"
2021-10-01,"2706","71","14","19","32","6"
2021-11-01,"2597","74","25","13","32","4"
2021-12-01,"2615","82","17","15","44","6"
2022-01-01,"2425","82","19","21","36","6"
2022-02-01,"2260","87","13","26","31","17"
2022-03-01,"2642","78","29","12","31","6"
2022-04-01,"2556","88","23","26","32","7"
2022-05-01,"2826","88","28","20","32","8"
2022-06-01,"2667","94","22","20","45","7"
2022-07-01,"2681","60","11","17","28","4"
2022-08-01,"2616","73","11","18","35","9"
2022-09-01,"2647","81","20","15","39","7"
2022-10-01,"2769","84","16","27","35","6"
2022-11-01,"2349","82","27","11","36","8"
2022-12-01,"2530","71","19","14","34","4"
